epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1980.13,1.12592,1.99447,1.14603,0.77581,0.76547,0.79962,0.60258,0.9342,1.18861,1.05629,0.000471753,0.000471753,0.000471753
2,3548.7,1.08398,1.36807,1.09016,0.70715,0.57925,0.70463,0.40055,1.41062,1.74226,1.29248,0.000929314,0.000929314,0.000929314
3,5237.33,1.09238,1.26072,1.10382,0.71181,0.66953,0.75356,0.5534,0.9625,1.18684,1.02259,0.00136801,0.00136801,0.00136801
4,6761.48,1.06049,1.12186,1.08267,0.81764,0.77295,0.84081,0.64158,0.9195,1.00465,1.04199,0.00134412,0.00134412,0.00134412
5,8370.07,1.03911,1.07206,1.08341,0.67111,0.64151,0.72726,0.52987,1.01893,1.26173,1.07066,0.00131582,0.00131582,0.00131582
6,10077.9,1.01317,0.96747,1.06811,0.75425,0.81965,0.84563,0.65063,0.91972,1.03651,0.99335,0.00128753,0.00128753,0.00128753
7,11541.2,1.0083,0.91735,1.05737,0.88849,0.84087,0.89879,0.69055,0.88024,0.6764,1.00268,0.00125923,0.00125923,0.00125923
8,12844.1,0.98525,0.90788,1.04956,0.8493,0.82249,0.87277,0.66453,0.89706,0.78386,1.01325,0.00123094,0.00123094,0.00123094
9,14175.5,0.98827,0.88701,1.05329,0.87791,0.69914,0.8358,0.64428,0.87872,0.84642,0.99683,0.00120265,0.00120265,0.00120265
10,15529.4,0.9745,0.85523,1.04935,0.86194,0.84813,0.88763,0.69901,0.86179,0.73246,0.9916,0.00117435,0.00117435,0.00117435
11,36910.4,0.95966,0.82371,1.04063,0.92458,0.76031,0.89802,0.70555,0.81411,0.66914,0.95951,0.00114606,0.00114606,0.00114606
12,38349.9,0.94272,0.8035,1.03661,0.92293,0.7884,0.90719,0.71403,0.83054,0.68186,0.96941,0.00111776,0.00111776,0.00111776
13,40937.8,0.95584,0.81969,1.03909,0.94172,0.85661,0.93127,0.74527,0.79104,0.55121,0.95654,0.00108947,0.00108947,0.00108947
14,42300,0.94501,0.7851,1.03786,0.86281,0.81854,0.90488,0.71741,0.8301,0.65391,0.97938,0.00106118,0.00106118,0.00106118
15,43734.8,0.93459,0.77753,1.03229,0.85855,0.79015,0.87442,0.68789,0.8375,0.71186,0.96982,0.00103288,0.00103288,0.00103288
16,45812.8,0.93471,0.76115,1.03113,0.93746,0.76529,0.91065,0.7253,0.7958,0.5964,0.96223,0.00100459,0.00100459,0.00100459
17,47556.1,0.92635,0.72426,1.02453,0.93148,0.81397,0.92666,0.72187,0.85394,0.60903,0.9828,0.000976293,0.000976293,0.000976293
18,49305.2,0.93295,0.74284,1.03668,0.93096,0.75382,0.90127,0.70297,0.83358,0.65601,0.97339,0.000947999,0.000947999,0.000947999
19,61468.9,0.90439,0.7051,1.02005,0.8716,0.7648,0.86101,0.68535,0.80505,0.735,0.95763,0.000919704,0.000919704,0.000919704
20,84361.9,0.94059,0.72606,1.0345,0.91432,0.81211,0.91002,0.71459,0.81769,0.59217,0.9622,0.00089141,0.00089141,0.00089141
21,86119.3,0.89994,0.69462,1.01535,0.92917,0.81303,0.92568,0.7365,0.77626,0.58011,0.95356,0.000863116,0.000863116,0.000863116
22,87948.5,0.89865,0.67977,1.01126,0.8974,0.77169,0.89225,0.70826,0.79192,0.67844,0.97388,0.000834822,0.000834822,0.000834822
23,1388.2,0.88825,0.66629,1.01399,0.89837,0.85578,0.93693,0.74644,0.7999,0.54947,0.96476,0.000806528,0.000806528,0.000806528
24,2729.17,0.87675,0.65104,1.00255,0.89094,0.83881,0.93505,0.74182,0.80036,0.52667,0.95709,0.000778233,0.000778233,0.000778233
25,4065.99,0.90011,0.65944,1.01575,0.90375,0.77565,0.90068,0.7172,0.78886,0.62012,0.95409,0.000749939,0.000749939,0.000749939
26,7709.16,0.88499,0.64086,1.00181,0.88559,0.74892,0.88789,0.69652,0.84251,0.67758,0.97816,0.000721645,0.000721645,0.000721645
27,16316,0.8617,0.646,1.00752,0.93843,0.81175,0.92477,0.73699,0.78701,0.54044,0.95166,0.000693351,0.000693351,0.000693351
28,20316.5,0.85709,0.59982,1.00044,0.85468,0.81553,0.88482,0.70381,0.79342,0.62895,0.95262,0.000665057,0.000665057,0.000665057
29,23709.1,0.86067,0.60685,0.9974,0.94581,0.83761,0.94308,0.75189,0.77716,0.5013,0.94637,0.000636762,0.000636762,0.000636762
30,33135.4,0.84243,0.59766,0.99567,0.92854,0.84458,0.92535,0.74172,0.77231,0.55206,0.9508,0.000608468,0.000608468,0.000608468
31,34661.7,0.85335,0.60982,0.997,0.90359,0.75322,0.88865,0.69486,0.85742,0.61959,0.96393,0.000580174,0.000580174,0.000580174
32,36967.8,0.8381,0.59216,0.98833,0.89464,0.8246,0.92485,0.74436,0.75534,0.54877,0.94197,0.00055188,0.00055188,0.00055188
33,47364.1,0.82479,0.56505,0.98765,0.9105,0.86984,0.93332,0.74414,0.79409,0.49909,0.94946,0.000523586,0.000523586,0.000523586
34,49359.3,0.81236,0.55411,0.98123,0.91395,0.89109,0.94854,0.76246,0.75339,0.47337,0.93811,0.000495291,0.000495291,0.000495291
35,50733.1,0.82216,0.56301,0.98308,0.92801,0.85561,0.94395,0.75568,0.75846,0.51547,0.94205,0.000466997,0.000466997,0.000466997
36,52071.1,0.81056,0.55201,0.9749,0.90597,0.89993,0.95146,0.76253,0.77553,0.44267,0.94538,0.000438703,0.000438703,0.000438703
37,53393.7,0.80432,0.55123,0.9771,0.92085,0.82113,0.93258,0.73807,0.78857,0.52196,0.94992,0.000410409,0.000410409,0.000410409
38,54714,0.80368,0.54591,0.97575,0.86433,0.82138,0.91089,0.71898,0.81354,0.58141,0.96818,0.000382115,0.000382115,0.000382115
39,56035.4,0.79506,0.5158,0.97352,0.91767,0.85878,0.93375,0.74746,0.78175,0.52605,0.95462,0.00035382,0.00035382,0.00035382
40,57359.6,0.7924,0.51667,0.97552,0.87639,0.84042,0.91996,0.72262,0.82573,0.55575,0.96748,0.000325526,0.000325526,0.000325526
41,58680.3,0.78975,0.49968,0.96885,0.93605,0.86811,0.9315,0.73678,0.80958,0.50188,0.95292,0.000297232,0.000297232,0.000297232
